"matchID","gameNumber","gameWasPlayed","map","team1Score","team2Score","team1Distance","team2Distance","team1FastestFinish","team2FastestFinish","team1FastestPointACap","team2FastestPointACap","otKey"
"2375","1","1","Dorado","2","2","7562","7563","00:00:00","00:00:00","00:02:57","00:01:29",NULL
"2375","2","1","Temple of Anubis","3","4","0","0","00:03:50","00:03:39","00:01:41","00:01:18",NULL
"2375","3","1","Ilios","1","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2375","4","1","Numbani","1","1","7555","7556","00:00:00","00:00:00","00:04:30","00:01:40",NULL
"2376","1","1","Volskaya Industries","2","0","0","0","00:08:19","00:00:00","00:01:43","00:00:00",NULL
"2376","2","1","Nepal","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2376","3","1","King's Row","3","2","0","6302","00:05:49","00:00:00","00:00:55","00:00:44",NULL
"2376","4","1","Route 66","2","0","6940","8226","00:00:00","00:00:00","00:01:48","00:00:00",NULL
"2377","1","1","Volskaya Industries","1","1","0","3300","00:00:00","00:00:00","00:02:44","00:01:26",NULL
"2377","2","1","Numbani","1","1","9024","9025","00:00:00","00:00:00","00:02:43","00:00:51",NULL
"2377","3","1","Ilios","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2377","4","1","Junkertown","2","1","6851","8523","00:00:00","00:00:00","00:04:56","00:01:12",NULL
"2378","1","1","Blizzard World","2","0","10493","6000","00:00:00","00:00:00","00:00:59","00:00:00",NULL
"2378","2","1","Horizon Lunar Colony","2","2","3300","0","00:03:58","00:08:03","00:01:14","00:03:15",NULL
"2378","3","1","Lijiang Tower","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2378","4","1","Watchpoint: Gibraltar","1","1","7557","7558","00:00:00","00:00:00","00:01:54","00:01:01",NULL
"2379","1","1","Dorado","0","0","7016","7017","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2379","2","1","Temple of Anubis","1","1","0","3300","00:00:00","00:00:00","00:01:45","00:01:11",NULL
"2379","3","1","Ilios","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2379","4","1","Eichenwalde","0","0","8720","8721","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2380","1","1","Junkertown","3","2","0","8697","00:06:57","00:00:00","00:02:20","00:01:23",NULL
"2380","2","1","Temple of Anubis","5","6","0","0","00:01:46","00:02:00","00:00:54","00:00:52",NULL
"2380","3","1","Ilios","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2380","4","1","Numbani","3","3","0","0","00:08:03","00:08:19","00:01:03","00:00:57",NULL
"2381","1","1","Dorado","1","1","9327","9328","00:00:00","00:00:00","00:02:43","00:01:02",NULL
"2381","2","1","Temple of Anubis","2","1","0","6600","00:03:16","00:00:00","00:01:00","00:03:13",NULL
