"ID","name"
"-99","partial match"
"-4","5-6th Place Match"
"-3","3rd Place Match"
"-2","Secondary Final"
"0","Group Stage (no playoff stage)"
"1","Finals"
"2","Semifinals"
"3","Quarterfinals"
"4","Round of 16"
"5","Round of 32"
"6","Round of 64"
"10","Grand Finals"
"11","Losers' Finals"
"12","Losers' Top 4"
"13","Losers' Top 6"
"14","Losers' Top 8"
"15","Losers' Top 12"
"16","Losers' Top 16"
"31","Winners' Finals"
"32","Winners' Semifinals"
"33","Winners' Ro8"
"34","Winners' Ro16"
"41","QF2 - LB Final"
"42","QF2 - LB Round1"
"43","QF2 - WB Final"
"44","QF2 - WB Semis"
"46","QF1 - LB Final"
"47","QF1 - LB Round1"
"48","QF1 - WB Final"
"49","QF1 - WB Semis"
"51","2nd Gauntlet - Finals"
"52","2nd Gauntlet - Semifinals"
"53","2nd Gauntlet - Top 4"
"54","2nd Gauntlet - Top 5"
"61","Gauntlet - Finals"
"62","Gauntlet - Semifinals"
"63","Gauntlet - Top 4"
"64","Gauntlet - Top 5"
