"matchID","gameNumber","roundNumber","roundtype","blueTeam","redTeam","score","distance","pointA","pointB","pointC"
"2375","1","2","Defense","338","333","2","7563","89","243","0"
"2375","2","1","Attack","338","333","2","0","101","230","0"
"2375","2","2","Defense","338","333","2","0","155","255","0"
"2375","2","3","Defense","338","333","2","0","78","219","0"
"2375","2","4","Attack","338","333","1","0","250","0","0"
"2375","3","1","Lighthouse","338","333","-1","0",NULL,NULL,NULL
"2375","3","2","Ruins","338","333","1","0",NULL,NULL,NULL
"2375","3","3","Well","338","333","1","0",NULL,NULL,NULL
"2375","4","1","Attack","338","333","1","7555","270","0","0"
"2379","1","2","Defense","328","334","0","7017","0","0","0"
"2379","2","1","Attack","328","334","1","0","105","0","0"
"2379","2","2","Defense","328","334","1","3300","71","0","0"
"2379","3","1","Well","328","334","1","0",NULL,NULL,NULL
"2379","3","2","Ruins","328","334","1","0",NULL,NULL,NULL
"2379","4","1","Attack","328","334","0","8720","0","0","0"
"2379","4","2","Defense","328","334","0","8721","0","0","0"
"2380","4","2","Defense","330","329","3","0","57","177","499"
"2375","4","2","Defense","338","333","1","7556","100","0","0"
"2379","1","1","Attack","328","334","0","7016","0","0","0"
"2380","4","1","Attack","330","329","3","0","63","273","483"
"2380","3","2","Well","330","329","1","0",NULL,NULL,NULL
"2380","3","1","Lighthouse","330","329","1","0",NULL,NULL,NULL
"2380","2","6","Attack","330","329","1","0","310","0","0"
"2380","2","5","Defense","330","329","2","0","52","217","0"
"2380","2","4","Attack","330","329","2","0","54","134","0"
"2380","2","3","Defense","330","329","2","0","59","120","0"
"2380","2","2","Defense","330","329","2","0","141","192","0"
"2380","2","1","Attack","330","329","2","0","56","106","0"
"2380","1","2","Defense","330","329","2","8697","83","389","0"
"2380","1","1","Attack","330","329","3","0","140","296","417"
"2375","1","1","Attack","338","333","2","7562","177","254","0"
"2380","4","3","Attack","330","329","0","0","0","0","0"
"2380","4","4","Defense","330","329","0","0","0","0","0"
"2381","1","2","Defense","332","335","1","9328","62","0","0"
"2381","2","1","Attack","332","335","2","0","60","196","0"
"2381","2","2","Defense","332","335","1","6600","193","0","0"
"2381","3","1","University","332","335","-1","0",NULL,NULL,NULL
"2381","3","2","Gardens","332","335","-1","0",NULL,NULL,NULL
"2381","4","1","Attack","332","335","3","0","63","114","299"
"2382","4","2","Defense","337","331","3","0","63","219","369"
"2382","4","1","Attack","337","331","3","0","86","262","522"
"2382","3","2","City Center","337","331","-1","0",NULL,NULL,NULL
"2382","3","1","Gardens","337","331","-1","0",NULL,NULL,NULL
"2382","2","2","Defense","337","331","1","9240","75","0","0"
"2382","2","1","Attack","337","331","1","9230","51","0","0"
"2382","1","2","Defense","337","331","2","7892","161","326","0"
"2382","1","1","Attack","337","331","3","0","150","282","451"
"2381","1","1","Attack","332","335","1","9327","163","0","0"
"2382","4","3","Defense","337","331","0","3300","0","0","0"
"2382","5","1","Control Center","337","331","-1","0",NULL,NULL,NULL
"2382","5","2","Night Market","337","331","-1","0",NULL,NULL,NULL
"2383","1","1","Attack","318","336","2","9125","60","171","0"
"2383","1","2","Defense","318","336","2","9126","83","154","0"
"2383","2","1","Attack","318","336","2","0","65","173","0"
"2383","2","2","Defense","318","336","2","0","84","310","0"
"2383","2","3","Defense","318","336","1","4030","71","0","0"
"2383","2","4","Attack","318","336","1","4040","173","0","0"
"2383","3","1","Well","318","336","1","0",NULL,NULL,NULL
"2383","3","2","Lighthouse","318","336","1","0",NULL,NULL,NULL
"2383","4","1","Attack","318","336","1","9458","92","0","0"
"2383","4","2","Defense","318","336","1","9459","96","0","0"
"2399","1","3","Attack","333","330","3","0","79","164","245"
"2399","1","4","Defense","333","330","3","0","78","242","338"
"2399","1","5","Attack","333","330","2","2404","92","174","0"
"2399","1","6","Defense","333","330","1","4856","95","0","0"
"2399","2","1","Attack","333","330","2","0","64","118","0"
"2399","2","2","Defense","333","330","2","0","56","87","0"
"2399","2","3","Attack","333","330","2","0","100","264","0"
"2399","2","4","Defense","333","330","2","0","50","363","0"
"2399","2","5","Defense","333","330","1","0","82","0","0"
"2399","2","6","Attack","333","330","1","0","188","0","0"
"2399","3","1","Lighthouse","333","330","-1","0",NULL,NULL,NULL
"2399","3","2","Ruins","333","330","-1","0",NULL,NULL,NULL
"2399","4","1","Attack","333","330","3","0","100","222","306"
"2399","1","2","Defense","333","330","3","0","61","138","255"
"2399","1","1","Attack","333","330","3","0","84","240","414"
"2400","4","2","Defense","335","318","1","11906","81","0","0"
"2400","4","1","Attack","335","318","1","11905","106","0","0"
"2400","3","2","City Center","335","318","1","0",NULL,NULL,NULL
"2400","1","2","Defense","335","318","2","5481","119","251","0"
"2400","2","1","Attack","335","318","2","0","118","429","0"
"2400","2","2","Defense","335","318","2","0","70","274","0"
"2400","2","3","Attack","335","318","0","0","0","0","0"
"2400","2","4","Defense","335","318","0","3300","0","0","0"
"2400","3","1","University","335","318","1","0",NULL,NULL,NULL
"2400","1","1","Attack","335","318","2","5480","81","291","0"
"2401","4","2","Defense","338","328","2","8247","77","282","0"
"2401","4","1","Attack","338","328","3","0","185","324","414"
"2401","1","2","Defense","338","328","1","8247","240","0","0"
"2401","2","1","Attack","338","328","0","4890","0","0","0"
"2401","2","2","Defense","338","328","0","4891","0","0","0"
"2401","3","1","Lighthouse","338","328","-1","0",NULL,NULL,NULL
"2401","3","2","Ruins","338","328","-1","0",NULL,NULL,NULL
"2399","4","2","Defense","333","330","0","0","0","0","0"
"2401","1","1","Attack","338","328","2","9853","70","145","0"
"2402","3","2","Ruins","332","337","-1","0",NULL,NULL,NULL
"2402","2","2","Defense","332","337","0","0","0","0","0"
"2402","3","1","Well","332","337","-1","0",NULL,NULL,NULL
"2402","2","1","Attack","332","337","2","0","262","437","0"
"2402","1","2","Defense","332","337","2","9561","135","285","0"
"2402","1","1","Attack","332","337","3","0","79","178","484"
"2403","1","2","Defense","336","331","2","10028","88","198","0"
"2403","2","1","Attack","336","331","2","0","69","377","0"
"2403","2","2","Defense","336","331","1","0","163","0","0"
"2403","3","1","Well","336","331","-1","0",NULL,NULL,NULL
"2403","3","2","Ruins","336","331","-1","0",NULL,NULL,NULL
"2403","4","1","Attack","336","331","3","0","55","114","252"
"2403","4","2","Defense","336","331","1","9503","55","0","0"
"2381","4","2","Defense","332","335","0","8630","0","0","0"
"2402","4","1","Attack","332","337","3","0","114","213","281"
"2402","4","2","Defense","332","337","0","0","0","0","0"
"2403","1","1","Attack","336","331","2","10027","111","306","0"
"2404","2","3","Attack","329","334","0","3300","0","0","0"
"2404","2","2","Defense","329","334","2","0","126","533","0"
"2404","2","1","Attack","329","334","2","0","54","107","0"
"2404","1","4","Defense","329","334","0","2985","0","0","0"
"2404","1","3","Attack","329","334","1","2389","80","0","0"
"2404","1","2","Defense","329","334","3","0","92","195","461"
"2404","1","1","Attack","329","334","3","0","135","274","467"
"2404","3","1","Ruins","329","334","-1","0",NULL,NULL,NULL
"2404","3","2","Lighthouse","329","334","-1","0",NULL,NULL,NULL
"2404","4","1","Attack","329","334","3","0","55","131","378"
"2404","4","2","Defense","329","334","0","7450","0","0","0"
"2405","4","3","Defense","338","337","0","0","0","0","0"
"2405","4","2","Defense","338","337","3","0","78","236","367"
"2405","1","2","Defense","338","337","0","7683","0","0","0"
"2405","2","1","Attack","338","337","1","0","209","0","0"
